participantID,field,subject_condition,graph_condition,group,question,rating,check,order
s51036,Quantitative,warning,control,A,7,6,right,3
s51036,Quantitative,warning,truncated,A,8,2,right,6
s51036,Quantitative,warning,control,A,9,3,right,7
s51037,Quantitative,no warning,control,A,1,3,NA,12
s51037,Quantitative,no warning,truncated,A,10,2,NA,31
s51037,Quantitative,no warning,control,A,11,2,NA,40
s51037,Quantitative,no warning,truncated,A,12,3,NA,25
s51037,Quantitative,no warning,control,A,13,4,NA,8
s51037,Quantitative,no warning,truncated,A,14,5,NA,11
s51037,Quantitative,no warning,control,A,15,4,NA,1
s51037,Quantitative,no warning,truncated,A,16,4,NA,26
s51037,Quantitative,no warning,control,A,17,2,NA,30
s51037,Quantitative,no warning,truncated,A,18,2,NA,27
s51037,Quantitative,no warning,control,A,19,3,NA,7
s51037,Quantitative,no warning,truncated,A,2,3,NA,32
s51037,Quantitative,no warning,truncated,A,20,3,NA,5
s51037,Quantitative,no warning,control,A,21,2,NA,37
s51037,Quantitative,no warning,truncated,A,22,3,NA,23
s51037,Quantitative,no warning,control,A,23,6,NA,33
s51037,Quantitative,no warning,truncated,A,24,2,NA,24
s51037,Quantitative,no warning,control,A,25,4,NA,22
s51037,Quantitative,no warning,truncated,A,26,4,NA,3
s51037,Quantitative,no warning,control,A,27,1,NA,15
s51037,Quantitative,no warning,truncated,A,28,3,NA,29
s51037,Quantitative,no warning,control,A,29,4,NA,13
s51037,Quantitative,no warning,control,A,3,1,NA,35
s51037,Quantitative,no warning,truncated,A,30,2,NA,19
s51037,Quantitative,no warning,control,A,31,3,NA,20
s51037,Quantitative,no warning,truncated,A,32,6,NA,21
s51037,Quantitative,no warning,control,A,33,2,NA,14
s51037,Quantitative,no warning,truncated,A,34,3,NA,4
s51037,Quantitative,no warning,control,A,35,3,NA,38
s51037,Quantitative,no warning,truncated,A,36,2,NA,28
s51037,Quantitative,no warning,control,A,37,2,NA,17
s51037,Quantitative,no warning,truncated,A,38,5,NA,18
s51037,Quantitative,no warning,control,A,39,2,NA,2
s51037,Quantitative,no warning,truncated,A,4,4,NA,9
s51037,Quantitative,no warning,truncated,A,40,3,NA,39
s51037,Quantitative,no warning,control,A,5,3,NA,36
s51037,Quantitative,no warning,truncated,A,6,2,NA,10
s51037,Quantitative,no warning,control,A,7,3,NA,16
s51037,Quantitative,no warning,truncated,A,8,3,NA,34
s51037,Quantitative,no warning,control,A,9,2,NA,6
s51038,Quantitative,no warning,truncated,B,1,4,NA,38
s51038,Quantitative,no warning,control,B,10,1,NA,16
s51038,Quantitative,no warning,truncated,B,11,5,NA,40
s51038,Quantitative,no warning,control,B,12,5,NA,14
s51038,Quantitative,no warning,truncated,B,13,7,NA,37
s51038,Quantitative,no warning,control,B,14,7,NA,23
s51038,Quantitative,no warning,truncated,B,15,7,NA,35
s51038,Quantitative,no warning,control,B,16,3,NA,25
s51038,Quantitative,no warning,truncated,B,17,2,NA,31
s51038,Quantitative,no warning,control,B,18,1,NA,30
s51038,Quantitative,no warning,truncated,B,19,5,NA,11
s51038,Quantitative,no warning,control,B,2,4,NA,1
s51038,Quantitative,no warning,control,B,20,4,NA,20
s51038,Quantitative,no warning,truncated,B,21,1,NA,9
s51038,Quantitative,no warning,control,B,22,2,NA,17
s51038,Quantitative,no warning,truncated,B,23,5,NA,13
s51038,Quantitative,no warning,control,B,24,1,NA,39
s51038,Quantitative,no warning,truncated,B,25,6,NA,18
s51038,Quantitative,no warning,control,B,26,4,NA,24
s51038,Quantitative,no warning,truncated,B,27,1,NA,36
s51038,Quantitative,no warning,control,B,28,4,NA,5
s51038,Quantitative,no warning,truncated,B,29,7,NA,19
s51038,Quantitative,no warning,truncated,B,3,2,NA,3
s51038,Quantitative,no warning,control,B,30,4,NA,7
s51038,Quantitative,no warning,truncated,B,31,4,NA,28
s51038,Quantitative,no warning,control,B,32,7,NA,2
s51038,Quantitative,no warning,truncated,B,33,3,NA,21
s51038,Quantitative,no warning,control,B,34,3,NA,26
s51038,Quantitative,no warning,truncated,B,35,6,NA,22
s51038,Quantitative,no warning,control,B,36,1,NA,8
s51038,Quantitative,no warning,truncated,B,37,2,NA,32
s51038,Quantitative,no warning,control,B,38,5,NA,27
s51038,Quantitative,no warning,truncated,B,39,1,NA,29
s51038,Quantitative,no warning,control,B,4,4,NA,4
s51038,Quantitative,no warning,control,B,40,1,NA,34
s51038,Quantitative,no warning,truncated,B,5,5,NA,10
s51038,Quantitative,no warning,control,B,6,4,NA,15
s51038,Quantitative,no warning,truncated,B,7,4,NA,33
s51038,Quantitative,no warning,control,B,8,4,NA,12
s51038,Quantitative,no warning,truncated,B,9,2,NA,6
s51039,Quantitative,warning,truncated,B,1,4,right,9
