participantID,field,duration,subject_condition,graph_condition,group,question,time
s51310,Humanities,2012,no warning,truncated,B,15,64.606
s51310,Humanities,2012,no warning,control,B,16,21.312
s51310,Humanities,2012,no warning,truncated,B,17,39.547
s51310,Humanities,2012,no warning,control,B,18,38.335
s51310,Humanities,2012,no warning,truncated,B,19,53.631
s51310,Humanities,2012,no warning,control,B,20,38.59
s51310,Humanities,2012,no warning,truncated,B,21,33.03
s51310,Humanities,2012,no warning,control,B,22,18.027
s51310,Humanities,2012,no warning,truncated,B,23,17.79
s51310,Humanities,2012,no warning,control,B,24,42.322
s51310,Humanities,2012,no warning,truncated,B,25,32.947
s51310,Humanities,2012,no warning,control,B,26,18.299
s51310,Humanities,2012,no warning,truncated,B,27,32.176
s51310,Humanities,2012,no warning,control,B,28,29.334
s51310,Humanities,2012,no warning,truncated,B,29,47.168
s51310,Humanities,2012,no warning,control,B,30,32.333
s51310,Humanities,2012,no warning,truncated,B,31,37.884
s51310,Humanities,2012,no warning,control,B,32,29.068
s51310,Humanities,2012,no warning,truncated,B,33,57.074
s51310,Humanities,2012,no warning,control,B,34,40.441
s51310,Humanities,2012,no warning,truncated,B,35,35.993
s51310,Humanities,2012,no warning,control,B,36,23.289
s51310,Humanities,2012,no warning,truncated,B,37,37.769
s51310,Humanities,2012,no warning,control,B,38,52.325
s51310,Humanities,2012,no warning,truncated,B,39,15.327
s51310,Humanities,2012,no warning,control,B,40,28.404
s51311,Humanities,2252,warning,NA,B,instructions,60.709
s51311,Humanities,2252,warning,truncated,B,1,52.643
s51311,Humanities,2252,warning,control,B,2,30.875
s51311,Humanities,2252,warning,truncated,B,3,43.59
s51311,Humanities,2252,warning,control,B,4,24.483
s51311,Humanities,2252,warning,truncated,B,5,21.548
s51311,Humanities,2252,warning,control,B,6,33.112
s51311,Humanities,2252,warning,truncated,B,7,22.083
s51311,Humanities,2252,warning,control,B,8,35.121
s51311,Humanities,2252,warning,truncated,B,9,25.234
s51311,Humanities,2252,warning,control,B,10,34.289
s51311,Humanities,2252,warning,truncated,B,11,34.106
s51311,Humanities,2252,warning,control,B,12,40.2
s51311,Humanities,2252,warning,truncated,B,13,38.917
s51311,Humanities,2252,warning,control,B,14,32.542
s51311,Humanities,2252,warning,truncated,B,15,21.46
s51311,Humanities,2252,warning,control,B,16,25.353
s51311,Humanities,2252,warning,truncated,B,17,50.864
s51311,Humanities,2252,warning,control,B,18,31.245
s51311,Humanities,2252,warning,truncated,B,19,49.29
s51311,Humanities,2252,warning,control,B,20,33.193
s51311,Humanities,2252,warning,truncated,B,21,38.189
s51311,Humanities,2252,warning,control,B,22,44.823
s51311,Humanities,2252,warning,truncated,B,23,14.617
s51311,Humanities,2252,warning,control,B,24,18.185
s51311,Humanities,2252,warning,truncated,B,25,55.076
s51311,Humanities,2252,warning,control,B,26,22.896
s51311,Humanities,2252,warning,truncated,B,27,19.113
s51311,Humanities,2252,warning,control,B,28,24.184
s51311,Humanities,2252,warning,truncated,B,29,42.945
s51311,Humanities,2252,warning,control,B,30,23.457
s51311,Humanities,2252,warning,truncated,B,31,37.205
s51311,Humanities,2252,warning,control,B,32,29.967
s51311,Humanities,2252,warning,truncated,B,33,40.13
s51311,Humanities,2252,warning,control,B,34,22.81
s51311,Humanities,2252,warning,truncated,B,35,24.267
