participantID,duration,subject_condition,graph_condition,group,question,time
s31096,718,warning,control,A,13,13.41
s31096,718,warning,truncated,A,14,12.977
s31096,718,warning,control,A,15,13.898
s31096,718,warning,truncated,A,16,11.67
s31096,718,warning,control,A,17,10.88
s31096,718,warning,truncated,A,18,19.756
s31096,718,warning,control,A,19,29.728
s31096,718,warning,truncated,A,20,12.186
s31096,718,warning,control,A,21,13.77
s31096,718,warning,truncated,A,22,10.231
s31096,718,warning,control,A,23,11.354
s31096,718,warning,truncated,A,24,18.369
s31096,718,warning,control,A,25,17.858
s31096,718,warning,truncated,A,26,13.176
s31096,718,warning,control,A,27,5.209
s31096,718,warning,truncated,A,28,7.791
s31096,718,warning,control,A,29,9.898
s31096,718,warning,truncated,A,30,7.457
s31096,718,warning,control,A,31,10.321
s31096,718,warning,truncated,A,32,11.059
s31096,718,warning,control,A,33,9.11
s31096,718,warning,truncated,A,34,17.21
s31096,718,warning,control,A,35,10.595
s31096,718,warning,truncated,A,36,8.326
s31096,718,warning,control,A,37,12.959
s31096,718,warning,truncated,A,38,11.978
s31096,718,warning,control,A,39,6.396
s31096,718,warning,truncated,A,40,10.324
s31097,1983,warning,NA,A,instructions,612.075
s31097,1983,warning,control,A,1,6.491
s31097,1983,warning,truncated,A,2,10.023
s31097,1983,warning,control,A,3,5.011
s31097,1983,warning,truncated,A,4,9.937
s31097,1983,warning,control,A,5,9.561
s31097,1983,warning,truncated,A,6,13.854
s31097,1983,warning,control,A,7,5.846
s31097,1983,warning,truncated,A,8,5.171
s31097,1983,warning,control,A,9,39.779
s31097,1983,warning,truncated,A,10,4.947
s31097,1983,warning,control,A,11,5.119
s31097,1983,warning,truncated,A,12,5.076
s31097,1983,warning,control,A,13,4.342
s31097,1983,warning,truncated,A,14,16.892
s31097,1983,warning,control,A,15,5.109
s31097,1983,warning,truncated,A,16,3.5
s31097,1983,warning,control,A,17,75.635
s31097,1983,warning,truncated,A,18,8.222
s31097,1983,warning,control,A,19,7.155
s31097,1983,warning,truncated,A,20,5.045
s31097,1983,warning,control,A,21,13.986
s31097,1983,warning,truncated,A,22,8.679
s31097,1983,warning,control,A,23,2.968
s31097,1983,warning,truncated,A,24,4.834
s31097,1983,warning,control,A,25,23.171
s31097,1983,warning,truncated,A,26,38.749
s31097,1983,warning,control,A,27,86.249
s31097,1983,warning,truncated,A,28,3.467
s31097,1983,warning,control,A,29,21.784
s31097,1983,warning,truncated,A,30,5.259
