"number_of_graphs","max","min","difference","percentage_change","GDI","RGD"
39,62,43,19,0.441860465116279,500,1.53225806451613
40,71,67,4,0.0597014925373134,500,0.28169014084507
41,18.7,9.3,9.4,1.01075268817204,500,2.51336898395722
42,7.2,7,0.2,0.0285714285714286,500,0.138888888888889
43,1.86,1.66,0.2,0.120481927710843,500,0.537634408602151
44,1301.7,1018.7,283,0.277805045646412,500,1.08704002458324
45,68,54.5,13.5,0.247706422018349,500,0.992647058823529
46,87176,53069,34107,0.642691590193899,500,1.95621501330642
47,34.8,10.7,24.1,2.25233644859813,500,3.46264367816092
48,17,10,7,0.7,500,2.05882352941176
49,13198,10549,2649,0.251113849653996,500,1.00356114562813
50,70.79,53.74,17.05,0.31726832899144,500,1.20426613928521
51,780,697,83,0.119081779053085,500,0.532051282051282
52,7.01,6.42,0.59,0.0919003115264797,500,0.420827389443652
53,8.6,7.3,1.3,0.178082191780822,500,0.755813953488372
54,8,7,1,0.142857142857143,500,0.625
55,3.3,2.3,1,0.434782608695652,500,1.51515151515152
56,24,18,6,0.333333333333333,500,1.25
57,27,13,14,1.07692307692308,500,2.59259259259259
58,18.8,14,4.8,0.342857142857143,500,1.27659574468085
59,14155,13172,983,0.0746279987853022,500,0.347227128223242
60,15581,15553,28,0.00180029576287533,500,0.00898530261215589
61,25.9,24.9,1,0.0401606425702811,500,0.193050193050193
62,118.89,110.03,8.86,0.0805234935926565,500,0.372613340062242
63,10,7,3,0.428571428571429,500,1.5
64,53,34,19,0.558823529411765,500,1.79245283018868
65,80.5,78.3,2.2,0.0280970625798212,500,0.136645962732919
66,26.66,17.68,8.98,0.507918552036199,500,1.68417104276069
67,23.24,2.57,20.67,8.04280155642023,500,4.44707401032702
68,10,5,5,1,500,2.5
69,32292,31419,873,0.027785734746491,500,0.135172798216276
70,53.2,51.5,1.7,0.0330097087378641,500,0.159774436090226
71,77.49,74.98,2.50999999999999,0.0334755934915976,500,0.161956381468576
72,1209,746,463,0.620643431635389,500,1.91480562448304
73,485,245,240,0.979591836734694,500,2.47422680412371
74,23331,18324,5007,0.27324819908317,500,1.07303587501607
75,6734,5340,1394,0.261048689138577,500,1.03504603504604
76,7.5,4.2,3.3,0.785714285714286,500,2.2
77,67.2,47.5,19.7,0.414736842105263,500,1.46577380952381
78,15,10,5,0.5,500,1.66666666666667
79,45,42,3,0.0714285714285714,500,0.333333333333333
80,47,27,20,0.740740740740741,500,2.12765957446809
81,215,211,4,0.018957345971564,500,0.0930232558139534
82,38000,36700,1300,0.0354223433242507,500,0.171052631578947
83,176.1,112.4,63.7,0.566725978647687,500,1.80863145939807
84,12794,6843,5951,0.869647815285693,500,2.3256995466625
85,27,25,2,0.08,500,0.37037037037037
86,85.78,85.09,0.689999999999998,0.00810906099424136,500,0.0402191653065982
87,1750,1682,68,0.0404280618311534,500,0.194285714285714
88,13143,7538,5605,0.743565932608119,500,2.13231377919805
89,1022,834,188,0.225419664268585,500,0.919765166340509
90,63,49,14,0.285714285714286,500,1.11111111111111
91,34,28,6,0.214285714285714,500,0.88235294117647
92,1.46,1.43,0.03,0.020979020979021,500,0.102739726027397
93,61.2,32.27,28.93,0.896498295630617,500,2.36356209150327
94,5.06,3.89,1.17,0.300771208226221,500,1.15612648221344
95,592,360,232,0.644444444444444,500,1.95945945945946
96,22,9,13,1.44444444444444,500,2.95454545454546
97,0.256,0.194,0.062,0.319587628865979,500,1.2109375
98,59,51,8,0.156862745098039,500,0.677966101694915
99,7.43,6.24,1.19,0.190705128205128,500,0.800807537012113
100,33,25,8,0.32,500,1.21212121212121
101,1602,1484,118,0.0795148247978437,500,0.36828963795256
102,1091,1074,17,0.015828677839851,500,0.0779101741521541
103,137.43,89.38,48.05,0.53759230252853,500,1.74816270101143
